year,ex-smoker,non-smoker,quitter,smoker
2015.0,0.178,0.619,0.016,0.187
2015.083,0.178,0.62,0.016,0.187
2015.167,0.178,0.62,0.015,0.186
2015.25,0.178,0.621,0.015,0.186
2015.333,0.178,0.621,0.014,0.186
2015.417,0.178,0.622,0.015,0.186
2015.5,0.177,0.622,0.015,0.185
2015.583,0.177,0.623,0.015,0.185
2015.667,0.177,0.623,0.016,0.184
2015.75,0.176,0.624,0.017,0.183
2015.833,0.176,0.624,0.016,0.183
2015.917,0.176,0.625,0.016,0.183
2016.0,0.176,0.625,0.017,0.182
2016.083,0.176,0.626,0.017,0.182
2016.167,0.176,0.626,0.017,0.181
2016.25,0.175,0.627,0.017,0.181
2016.333,0.175,0.627,0.016,0.181
2016.417,0.175,0.628,0.016,0.181
2016.5,0.175,0.628,0.016,0.181
2016.583,0.175,0.628,0.016,0.181
2016.667,0.175,0.629,0.016,0.18
2016.75,0.175,0.629,0.016,0.18
2016.833,0.175,0.63,0.016,0.18
2016.917,0.175,0.63,0.016,0.18
2017.0,0.175,0.631,0.017,0.178
2017.083,0.174,0.631,0.017,0.178
2017.167,0.174,0.631,0.016,0.178
2017.25,0.174,0.632,0.016,0.178
2017.333,0.174,0.632,0.016,0.178
2017.417,0.174,0.632,0.016,0.177
2017.5,0.174,0.633,0.016,0.177
2017.583,0.174,0.633,0.016,0.177
2017.667,0.174,0.634,0.016,0.176
2017.75,0.173,0.634,0.016,0.176
2017.833,0.174,0.634,0.016,0.176
2017.917,0.173,0.635,0.016,0.176
2018.0,0.174,0.635,0.018,0.174
2018.083,0.174,0.635,0.017,0.174
2018.167,0.173,0.636,0.017,0.174
2018.25,0.173,0.636,0.017,0.174
2018.333,0.173,0.636,0.017,0.174
2018.417,0.173,0.637,0.016,0.174
2018.5,0.173,0.637,0.016,0.174
2018.583,0.173,0.638,0.016,0.174
2018.667,0.173,0.638,0.016,0.173
2018.75,0.173,0.638,0.016,0.173
2018.833,0.173,0.638,0.016,0.173
2018.917,0.173,0.639,0.016,0.172
2019.0,0.173,0.639,0.017,0.171
2019.083,0.173,0.639,0.016,0.171
2019.167,0.173,0.64,0.016,0.171
2019.25,0.173,0.64,0.016,0.171
2019.333,0.173,0.64,0.016,0.171
2019.417,0.173,0.641,0.016,0.171
2019.5,0.173,0.641,0.016,0.171
2019.583,0.173,0.641,0.016,0.171
2019.667,0.173,0.641,0.016,0.17
2019.75,0.173,0.642,0.015,0.17
2019.833,0.173,0.642,0.015,0.17
2019.917,0.173,0.642,0.015,0.17
2020.0,0.173,0.642,0.016,0.168
2020.083,0.173,0.643,0.016,0.169
2020.167,0.173,0.643,0.015,0.169
2020.25,0.173,0.643,0.015,0.169
2020.333,0.173,0.643,0.015,0.169
2020.417,0.173,0.644,0.015,0.169
2020.5,0.173,0.644,0.015,0.169
2020.583,0.173,0.644,0.015,0.169
2020.667,0.173,0.644,0.015,0.168
2020.75,0.173,0.644,0.015,0.168
2020.833,0.173,0.645,0.015,0.168
2020.917,0.173,0.645,0.015,0.168
2021.0,0.173,0.646,0.016,0.166
2021.083,0.173,0.646,0.015,0.166
2021.167,0.173,0.646,0.015,0.166
2021.25,0.173,0.646,0.015,0.166
2021.333,0.173,0.646,0.014,0.166
2021.417,0.173,0.647,0.014,0.166
2021.5,0.172,0.647,0.014,0.166
2021.583,0.172,0.647,0.014,0.166
2021.667,0.172,0.648,0.014,0.166
2021.75,0.172,0.648,0.014,0.166
2021.833,0.172,0.648,0.014,0.166
2021.917,0.172,0.648,0.014,0.166
2022.0,0.173,0.648,0.015,0.164
2022.083,0.172,0.648,0.014,0.165
2022.167,0.172,0.649,0.014,0.165
2022.25,0.172,0.649,0.014,0.165
2022.333,0.172,0.649,0.014,0.165
2022.417,0.172,0.65,0.014,0.165
2022.5,0.172,0.65,0.013,0.165
2022.583,0.172,0.65,0.014,0.165
2022.667,0.172,0.65,0.014,0.164
2022.75,0.172,0.65,0.014,0.164
2022.833,0.172,0.651,0.013,0.164
2022.917,0.172,0.651,0.013,0.164
2023.0,0.172,0.651,0.014,0.163
2023.083,0.172,0.651,0.014,0.163
2023.167,0.172,0.652,0.013,0.163
2023.25,0.172,0.652,0.013,0.163
2023.333,0.172,0.652,0.013,0.163
2023.417,0.171,0.652,0.013,0.163
2023.5,0.171,0.652,0.013,0.163
2023.583,0.171,0.652,0.013,0.164
2023.667,0.171,0.653,0.013,0.163
2023.75,0.171,0.653,0.013,0.163
2023.833,0.171,0.653,0.013,0.163
2023.917,0.171,0.653,0.013,0.163
2024.0,0.171,0.653,0.014,0.162
2024.083,0.171,0.653,0.013,0.162
2024.167,0.171,0.654,0.013,0.162
2024.25,0.171,0.654,0.013,0.162
2024.333,0.171,0.654,0.013,0.163
2024.417,0.171,0.654,0.013,0.163
2024.5,0.171,0.654,0.012,0.163
2024.583,0.171,0.654,0.012,0.163
2024.667,0.171,0.654,0.012,0.163
2024.75,0.171,0.654,0.012,0.163
2024.833,0.171,0.655,0.012,0.163
2024.917,0.17,0.655,0.012,0.163
