year,ex-smoker,non-smoker,quitter,smoker
2013.0,0.171,0.62,0.018,0.191
2013.083,0.171,0.62,0.017,0.191
2013.167,0.172,0.621,0.017,0.19
2013.25,0.172,0.621,0.017,0.19
2013.333,0.172,0.622,0.017,0.19
2013.417,0.172,0.623,0.017,0.189
2013.5,0.172,0.623,0.017,0.189
2013.583,0.171,0.624,0.017,0.188
2013.667,0.171,0.624,0.018,0.187
2013.75,0.171,0.625,0.018,0.187
2013.833,0.17,0.625,0.018,0.186
2013.917,0.17,0.626,0.018,0.186
2014.0,0.171,0.626,0.021,0.183
2014.083,0.17,0.627,0.021,0.182
2014.167,0.17,0.627,0.021,0.182
2014.25,0.17,0.628,0.021,0.181
2014.333,0.17,0.628,0.021,0.181
2014.417,0.17,0.628,0.021,0.18
2014.5,0.17,0.629,0.021,0.18
2014.583,0.17,0.63,0.021,0.18
2014.667,0.17,0.63,0.022,0.178
2014.75,0.17,0.63,0.022,0.178
2014.833,0.17,0.631,0.022,0.178
2014.917,0.17,0.631,0.022,0.178
2015.0,0.17,0.631,0.021,0.177
2015.083,0.17,0.632,0.02,0.178
2015.167,0.17,0.632,0.019,0.178
2015.25,0.17,0.633,0.018,0.178
2015.333,0.171,0.633,0.018,0.179
2015.417,0.17,0.633,0.017,0.179
2015.5,0.171,0.634,0.017,0.179
2015.583,0.17,0.634,0.016,0.179
2015.667,0.171,0.635,0.017,0.178
2015.75,0.171,0.635,0.017,0.177
2015.833,0.171,0.635,0.016,0.177
2015.917,0.171,0.636,0.016,0.177
2016.0,0.171,0.636,0.017,0.176
2016.083,0.171,0.636,0.016,0.176
2016.167,0.171,0.637,0.016,0.176
2016.25,0.171,0.637,0.016,0.176
2016.333,0.171,0.637,0.016,0.176
2016.417,0.171,0.638,0.016,0.176
2016.5,0.171,0.638,0.015,0.176
2016.583,0.171,0.638,0.015,0.176
2016.667,0.171,0.639,0.015,0.175
2016.75,0.171,0.639,0.015,0.175
2016.833,0.171,0.639,0.015,0.175
2016.917,0.171,0.64,0.015,0.175
2017.0,0.171,0.64,0.015,0.174
2017.083,0.171,0.64,0.015,0.174
2017.167,0.171,0.64,0.015,0.174
2017.25,0.171,0.641,0.014,0.174
2017.333,0.171,0.641,0.014,0.174
2017.417,0.171,0.641,0.014,0.174
2017.5,0.17,0.641,0.014,0.174
2017.583,0.17,0.642,0.014,0.174
2017.667,0.17,0.642,0.014,0.173
2017.75,0.17,0.642,0.014,0.173
2017.833,0.17,0.643,0.014,0.173
2017.917,0.17,0.643,0.014,0.173
2018.0,0.17,0.643,0.015,0.172
2018.083,0.17,0.644,0.014,0.172
2018.167,0.17,0.644,0.014,0.172
2018.25,0.17,0.644,0.014,0.172
2018.333,0.17,0.645,0.013,0.172
2018.417,0.17,0.645,0.013,0.172
2018.5,0.17,0.645,0.013,0.172
2018.583,0.169,0.645,0.013,0.172
2018.667,0.17,0.645,0.013,0.172
2018.75,0.17,0.646,0.013,0.172
2018.833,0.169,0.646,0.013,0.172
2018.917,0.169,0.646,0.013,0.172
2019.0,0.17,0.647,0.013,0.171
2019.083,0.169,0.647,0.013,0.171
2019.167,0.17,0.647,0.013,0.17
2019.25,0.169,0.648,0.013,0.17
2019.333,0.169,0.648,0.013,0.17
2019.417,0.169,0.649,0.012,0.17
2019.5,0.169,0.649,0.012,0.169
2019.583,0.169,0.65,0.012,0.169
2019.667,0.169,0.65,0.012,0.169
2019.75,0.169,0.651,0.012,0.168
2019.833,0.168,0.651,0.012,0.168
2019.917,0.169,0.651,0.012,0.168
2020.0,0.169,0.652,0.013,0.167
2020.083,0.168,0.652,0.012,0.167
2020.167,0.168,0.653,0.012,0.166
2020.25,0.168,0.653,0.012,0.166
2020.333,0.168,0.654,0.012,0.166
2020.417,0.168,0.654,0.012,0.166
2020.5,0.168,0.655,0.012,0.166
2020.583,0.168,0.655,0.012,0.165
2020.667,0.168,0.656,0.012,0.165
2020.75,0.168,0.656,0.012,0.165
2020.833,0.168,0.656,0.012,0.164
2020.917,0.168,0.657,0.012,0.164
2021.0,0.168,0.657,0.012,0.163
2021.083,0.168,0.658,0.012,0.163
2021.167,0.168,0.658,0.012,0.163
2021.25,0.167,0.658,0.011,0.163
2021.333,0.167,0.659,0.011,0.162
2021.417,0.167,0.659,0.011,0.162
2021.5,0.167,0.66,0.011,0.162
2021.583,0.167,0.66,0.011,0.162
2021.667,0.167,0.661,0.011,0.161
2021.75,0.167,0.661,0.011,0.161
2021.833,0.166,0.662,0.011,0.161
2021.917,0.166,0.662,0.011,0.16
2022.0,0.167,0.662,0.012,0.159
2022.083,0.167,0.663,0.011,0.159
2022.167,0.166,0.663,0.011,0.159
2022.25,0.166,0.664,0.011,0.159
2022.333,0.166,0.664,0.011,0.159
2022.417,0.166,0.664,0.011,0.159
2022.5,0.166,0.665,0.011,0.159
2022.583,0.166,0.665,0.011,0.158
2022.667,0.166,0.666,0.011,0.158
2022.75,0.165,0.666,0.011,0.158
2022.833,0.165,0.667,0.01,0.158
2022.917,0.165,0.667,0.011,0.157
